# US ZIP (ZCTA) -> county, largest-area match — US Census 2020 ZCTA-county relationship file, public domain.
# zip,county,state_fips
03260,Merrimack County,33
03261,Rockingham County,33
03262,Grafton County,33
03263,Merrimack County,33
03264,Grafton County,33
03266,Grafton County,33
03268,Merrimack County,33
03269,Belknap County,33
03273,Merrimack County,33
03275,Merrimack County,33
03276,Merrimack County,33
03278,Merrimack County,33
03279,Grafton County,33
03280,Sullivan County,33
03281,Hillsborough County,33
03282,Grafton County,33
03284,Sullivan County,33
03285,Grafton County,33
03287,Merrimack County,33
03290,Rockingham County,33
03291,Rockingham County,33
03293,Grafton County,33
03301,Merrimack County,33
03303,Merrimack County,33
03304,Merrimack County,33
03307,Merrimack County,33
03431,Cheshire County,33
03440,Hillsborough County,33
03441,Cheshire County,33
03442,Hillsborough County,33
03443,Cheshire County,33
03444,Cheshire County,33
03445,Cheshire County,33
03446,Cheshire County,33
03447,Cheshire County,33
03448,Cheshire County,33
03449,Hillsborough County,33
03450,Cheshire County,33
03451,Cheshire County,33
03452,Cheshire County,33
03455,Cheshire County,33
03456,Cheshire County,33
03457,Cheshire County,33
03458,Hillsborough County,33
03461,Cheshire County,33
03462,Cheshire County,33
03464,Cheshire County,33
03465,Cheshire County,33
03466,Cheshire County,33
03467,Cheshire County,33
03470,Cheshire County,33
03561,Grafton County,33
03570,Coos County,33
03574,Grafton County,33
03575,Coos County,33
03576,Coos County,33
03579,Oxford County,23
03580,Grafton County,33
03581,Coos County,33
03582,Coos County,33
03583,Coos County,33
03584,Coos County,33
03585,Grafton County,33
03586,Grafton County,33
03588,Coos County,33
03590,Coos County,33
03592,Coos County,33
03593,Coos County,33
03595,Coos County,33
03597,Coos County,33
03598,Coos County,33
03601,Sullivan County,33
03602,Cheshire County,33
03603,Sullivan County,33
03604,Cheshire County,33
03605,Sullivan County,33
03607,Sullivan County,33
03608,Cheshire County,33
03609,Cheshire County,33
03740,Grafton County,33
03741,Grafton County,33
03743,Sullivan County,33
03745,Sullivan County,33
03748,Grafton County,33
03750,Grafton County,33
03751,Sullivan County,33
03752,Sullivan County,33
03753,Sullivan County,33
03755,Grafton County,33
03765,Grafton County,33
03766,Grafton County,33
03768,Grafton County,33
03770,Sullivan County,33
03771,Grafton County,33
03773,Sullivan County,33
03774,Grafton County,33
03777,Grafton County,33
03779,Grafton County,33
03780,Grafton County,33
03781,Sullivan County,33
03782,Sullivan County,33
03784,Grafton County,33
03785,Grafton County,33
03801,Rockingham County,33
03809,Belknap County,33
03810,Belknap County,33
03811,Rockingham County,33
03812,Carroll County,33
03813,Carroll County,33
03814,Carroll County,33
03816,Carroll County,33
03817,Carroll County,33
03818,Carroll County,33
03819,Rockingham County,33
03820,Strafford County,33
03823,Strafford County,33
03824,Strafford County,33
03825,Strafford County,33
03826,Rockingham County,33
03827,Rockingham County,33
03830,Carroll County,33
03832,Carroll County,33
03833,Rockingham County,33
03835,Strafford County,33
03836,Carroll County,33
03837,Belknap County,33
03838,Carroll County,33
03839,Strafford County,33
03840,Rockingham County,33
03841,Rockingham County,33
03842,Rockingham County,33
03844,Rockingham County,33
03845,Carroll County,33
03846,Carroll County,33
03847,Carroll County,33
03848,Rockingham County,33
03849,Carroll County,33
03850,Carroll County,33
03851,Strafford County,33
03852,Strafford County,33
03853,Carroll County,33
03854,Rockingham County,33
03855,Strafford County,33
03856,Rockingham County,33
03857,Rockingham County,33
03858,Rockingham County,33
03860,Carroll County,33
03861,Strafford County,33
03862,Rockingham County,33
03864,Carroll County,33
03865,Rockingham County,33
03867,Strafford County,33
03868,Strafford County,33
03869,Strafford County,33
03870,Rockingham County,33
03871,Rockingham County,33
03872,Carroll County,33
03873,Rockingham County,33
03874,Rockingham County,33
03875,Carroll County,33
03878,Strafford County,33
03882,Carroll County,33
03883,Carroll County,33
03884,Strafford County,33
03885,Rockingham County,33
03886,Carroll County,33
03887,Strafford County,33
03890,Carroll County,33
03894,Carroll County,33
03897,Carroll County,33
03901,York County,23
03902,York County,23
03903,York County,23
03904,York County,23
03905,York County,23
03906,York County,23
03907,York County,23
03908,York County,23
03909,York County,23
03910,York County,23
03911,York County,23
04001,York County,23
04002,York County,23
04003,Cumberland County,23
04005,York County,23
04006,York County,23
04008,Sagadahoc County,23
04009,Cumberland County,23
04010,Oxford County,23
